codigoPedido,fechaPedido,horaPedido,totalPedido,estado,observaciones,idCliente,idEmpleado,idMetodoPago
P-20251025-001,2025-10-25,12:15:00,9.00,Entregado,,1,2,1
P-20251025-002,2025-10-25,12:30:00,7.00,Entregado,SIN SALSA,2,2,2
P-20251025-003,2025-10-25,13:05:00,6.40,Entregado,,3,2,1
P-20251025-004,2025-10-25,13:20:00,7.45,Entregado,DESCUENTO REFRESCOS,1,2,1
P-20251020-001,2025-10-20,11:00:00,8.50,Entregado,,4,5,1
P-20251020-002,2025-10-20,11:15:00,6.75,Entregado,SIN HIELO,5,6,2
P-20251020-003,2025-10-20,11:30:00,9.20,Entregado,,6,7,1
P-20251020-004,2025-10-20,11:45:00,7.80,Entregado,EXTRA QUESO,7,8,3
P-20251020-005,2025-10-20,12:00:00,5.90,Entregado,,8,9,1
P-20251021-001,2025-10-21,12:10:00,10.00,Entregado,SIN MAYONESA,9,10,2
P-20251021-002,2025-10-21,12:25:00,6.50,Entregado,,10,11,1
P-20251021-003,2025-10-21,12:40:00,7.30,Entregado,DESCUENTO POSTRES,11,12,3
P-20251021-004,2025-10-21,12:55:00,8.10,Entregado,,12,13,1
P-20251021-005,2025-10-21,13:10:00,9.90,Entregado,SIN TOMATE,13,14,2
P-20251022-001,2025-10-22,13:20:00,6.00,Entregado,,14,15,1
P-20251022-002,2025-10-22,13:35:00,7.25,Entregado,EXTRA SALSA,15,16,3
P-20251022-003,2025-10-22,13:50:00,8.60,Entregado,,16,17,1
P-20251022-004,2025-10-22,14:05:00,9.15,Entregado,SIN CEBOLLA,17,18,2
P-20251022-005,2025-10-22,14:20:00,6.80,Entregado,,18,19,1
P-20251023-001,2025-10-23,14:30:00,10.50,Entregado,DESCUENTO COMBO,19,20,3
P-20251023-002,2025-10-23,14:45:00,7.10,Entregado,,20,21,1
P-20251023-003,2025-10-23,15:00:00,8.25,Entregado,SIN MOSTAZA,21,22,2
P-20251023-004,2025-10-23,15:15:00,9.40,Entregado,,22,23,1
P-20251023-005,2025-10-23,15:30:00,6.95,Entregado,EXTRA NUGGETS,23,24,3
P-20251024-001,2025-10-24,15:45:00,7.60,Entregado,,24,25,1
P-20251024-002,2025-10-24,16:00:00,8.85,Entregado,SIN SAL,25,26,2
P-20251024-003,2025-10-24,16:15:00,9.75,Entregado,,26,27,1
P-20251024-004,2025-10-24,16:30:00,6.40,Entregado,DESCUENTO BEBIDA,27,28,3
